Remote,Booth,stop_id.2013,Station.2013,Line.2013,Division.2013
R054,R500,724,5 AVE-BRYANT PK,7BDFM,IRT
R054,R501,724,5 AVE-BRYANT PK,7BDFM,IRT
R276,R503,721,VERNON/JACKSON,7,IRT
R276,R504,721,VERNON/JACKSON,7,IRT
R276,R506,721,VERNON/JACKSON,7,IRT
R134,R507,720,HUNTERS PT AVE,7,IRT
R346,R508,719,COURT SQ,7,IRT
R121,R509,R09,QUEENSBORO PLZ,7NQ,IRT
R090,R510,R08,BEEBE-39 AVE,NQ,BMT
R091,R511,R06,WASHINGTON-36 A,NQ,BMT
R092,R512,R05,BROADWAY-31 ST,NQ,BMT
R093,R513,R04,GRAND-30 AVE,NQ,BMT
R094,R514,R03,HOYT ST-ASTORIA,NQ,BMT
R095,R515,R01,DITMARS BL-31 S,NQ,BMT
R291,R516,716,33 ST/RAWSON ST,7,IRT
R291,R517,716,33 ST/RAWSON ST,7,IRT
R261,R518,715,40 ST-LOWERY ST,7,IRT
R223,R519,714,46 ST-BLISS ST,7,IRT
R223,R520,714,46 ST-BLISS ST,7,IRT
R327,R521,713,52 ST-LINCOLN,7,IRT
R147,R523,712,61 ST/WOODSIDE,7,IRT
R347,R524,711,69 ST-FISK AVE,7,IRT
R018,R525,710,74 ST-BROADWAY,EFMR7,IRT
R096,R526,709,82 ST-JACKSON H,7,IRT
R122,R527,708,90 ST-ELMHURST,7,IRT
R097,R528,707,JUNCTION BLVD,7,IRT
R208,R529,706,103 ST-CORONA,7,IRT
R310,R530,705,111 ST,7,IRT
R328,R532,702,METS-WILLETS PT,7,IRT
R328,R532G,702,METS-WILLETS PT,7,IRT
R328,R532H,702,METS-WILLETS PT,7,IRT
R055,R533,701,MAIN ST,7,IRT
R055,R534,701,MAIN ST,7,IRT
R224,R600,231,CLARK ST,23,IRT
R108,R601A,232,BOROUGH HALL/CT,R2345,IRT
R108,R602,232,BOROUGH HALL/CT,2345R,IRT
R108,R604,232,BOROUGH HALL/CT,2345R,IRT
R456,R605,233,HOYT ST,23,IRT
R225,R606,233,HOYT ST,23,IRT
R056,R608,234,NEVINS ST,2345,IRT
R056,R609,234,NEVINS ST,2345,IRT
R057,R610,D24,ATLANTIC AVE,2345BDNQR,IRT
R058,R617,F20,BERGEN ST,23,IRT
R058,R618,F20,BERGEN ST,23,IRT
R059,R619,237,GRAND ARMY PLAZ,23,IRT
R060,R621,238,EASTERN PKWY,23,IRT
R123,R622,239,FRANKLIN AVE,2345S,IRT
R061,R623,248,NOSTRAND AVE,3,IRT
R124,R624,249,KINGSTON AVE,3,IRT
R062,R625,250,CROWN HTS-UTICA,34,IRT
R062,R626,250,CROWN HTS-UTICA,34,IRT
R063,R627,251,SUTTER AVE,3,IRT
R064,R628,252,SARATOGA AVE,3,IRT
R065,R629,253,ROCKAWAY AVE,3,IRT
R066,R630,254,JUNIUS ST,3,IRT
R067,R632,255,PENNSYLVANIA AV,3,IRT
R068,R633,256,VAN SICLEN AVE,3,IRT
R069,R634,257,NEW LOTS AVE,3,IRT
R277,R635,241,PRESIDENT ST,25,IRT
R209,R636,242,STERLING ST,25,IRT
R451,R637,243,WINTHROP ST,25,IRT
R109,R639,244,CHURCH AVE,25,IRT
R210,R641,245,BEVERLY ROAD,25,IRT
R135,R643,246,NEWKIRK AVE,25,IRT
R135,R644,246,NEWKIRK AVE,25,IRT
R110,R645,247,FLATBUSH AVE,25,IRT
R110,R646,247,FLATBUSH AVE,25,IRT
R110,R647,247,FLATBUSH AVE,25,IRT
R329,R726,505,MORRIS PARK,5,IRT
R430,R727,504,PELHAM PARKWAY,5,IRT
R226,R728,503,GUN HILL ROAD,5,IRT
R292,R729,502,BAYCHESTER AVE,5,IRT
R431,R730,501,DYRE AVE,5,IRT
R070,S101,S31,ST. GEORGE,1,SRT
R070,S101A,S31,ST. GEORGE,1,SRT
R165,S102,S30,TOMPKINSVILLE,1,SRT
R468,TRAM1,NA,RIT-MANHATTAN,R,RIT
R469,TRAM2,NA,RIT-ROOSEVELT,R,RIT
R532,WCCTR,NA,WEST COUNTY CTR,5,BEE
R410,X001,NA,NYC & CO - 7 AV,1,IRT
R470,X002,NA,ELTINGVILLE PK,Z,SRT
,,,,,
R417,N185,,BEACH 98 ST,AS,IND
R418,N186,,BEACH 105 ST,AS,IND
R459,OB01,,ORCHARD BEACH,6,IND
R536,JFK03,,JFK JAMAICA CT1,E,IND
R537,JFK04,,JFK JAMAICA CT2,E,IND
R540,PTH08,,PATH WTC,1,PTH
R540,PTH21,,PATH WTC 2,1,PTH
R541,PTH13,,THIRTY ST,1,PTH
R541,PTH17,,THIRTY THIRD ST,1,PTH
R542,PTH12,,TWENTY THIRD ST,1,PTH
R543,PTH05,,EXCHANGE PLACE,1,PTH
R544,PTH02,,HARRISON,1,PTH
R546,PTH06,,PAVONIA/NEWPORT,1,PTH
R547,PTH10,,9TH STREET,1,PTH
R549,PTH18,,NEWARK BM BW,1,PTH
R549,PTH19,,NEWARK C,1,PTH
R549,PTH20,,NEWARK HM HE,1,PTH
R549,PTH01,,NEWARK HW BMEBE,1,PTH
R550,PTH07,,CITY / BUS,1,PTH
R550,PTH16,,LACKAWANNA,1,PTH
R551,PTH04,,GROVE STREET,1,PTH
R552,PTH03,,JOURNAL SQUARE,1,PTH
